SampleID,1-Butanol,"3,7-Dimethyluric acid",3-Hydroxyphenylacetate,4-Hydroxyphenylacetate,Acetate,Acetone,Alanine,Benzoate,Betaine,Butyrate,Ethanol,Formate,Fructose,Glucose,Glycolate,Isobutyrate,Isocaproate,Isopropanol,Isovalerate,Lactate,Methanol,O-Acetylcholine,Phenol,Phenylacetate,Phenylalanine,Propionate,Propyl alcohol,Propylene glycol,Pyruvate,Trimethylamine,Valerate,Valproate,p-Cresol,DSS-d6
nmr_Gl_sf_6,1.4144945819673815,1.673567571685535,0.35362364549184544,0.35362364549184544,7.818493431360693,1.9854809251599652,1.285153616671209,0.35362364549184544,0.35362364549184544,8.144469881148662,4.85882533738944,0.9092659696746361,1.5788394368924419,2.14441869452306,0.7618590490631687,4.592219819097138,1.5905784510871521,1.6576278643918123,2.385543949669274,0.35362364549184544,3.89375288269326,0.8522832936116151,1.471133648872458,2.0645511909676943,0.35362364549184544,3.2071620633317584,2.1379886148600225,0.35362364549184544,0.35362364549184544,1.0476086594654737,6.313509314007659,3.085062665465843,1.464291067868248,6.010378112990955
nmr_CT_dp_1,1.584708943989797,7.179769335954674,1.584708943989797,1.584708943989797,24.285299172239338,11.46821727388116,1.584708943989797,1.584708943989797,1.584708943989797,10.07535947617031,1.584708943989797,7.683948748966031,1.584708943989797,1.584708943989797,1.996608156489421,9.328809648833953,5.083008340898707,4.506701438488028,7.230872616852341,1.584708943989797,17.782667017296962,1.584708943989797,1.584708943989797,1.584708943989797,1.584708943989797,12.098629555393483,1.584708943989797,1.584708943989797,1.584708943989797,1.584708943989797,5.952619630895593,5.9149438137499954,1.584708943989797,27.007511853413487
nmr_CT_dp_2,1.584708943989797,7.569926714239136,1.584708943989797,1.584708943989797,22.15894157792428,10.21710305063652,1.584708943989797,1.584708943989797,1.584708943989797,8.813038310796683,2.2855457935315915,10.342632841214309,1.584708943989797,1.584708943989797,6.623036204472469,9.251962586101271,4.571091587063183,5.327752496628053,6.99491314279735,1.584708943989797,17.44924327757476,1.584708943989797,1.584708943989797,1.584708943989797,1.584708943989797,11.060526859599928,1.584708943989797,1.584708943989797,1.584708943989797,1.584708943989797,4.868727952434704,4.812109702952144,1.584708943989797,26.94918798587352
nmr_CT_dp_3,0.9635162771677711,3.121418702235658,0.9635162771677711,0.9635162771677711,9.134236543530056,3.708093482683782,0.9635162771677711,0.9635162771677711,0.9635162771677711,4.045165510271219,0.9635162771677711,4.081284970640719,0.9635162771677711,0.9635162771677711,5.480224250373867,4.671905033811289,2.4774716657810476,2.427908879040036,3.772038695223597,2.205901610811823,9.967240314957879,0.9635162771677711,0.9635162771677711,2.571048422564911,0.9635162771677711,4.457288935583846,0.9635162771677711,0.9635162771677711,0.9635162771677711,0.9635162771677711,3.525800614740101,2.376235476565101,0.9635162771677711,16.46050470370304
nmr_CT_dp_4,0.5749752237310304,2.2756896137791585,0.5749752237310304,0.5749752237310304,4.800540365070076,3.356862014359244,0.5749752237310304,0.5749752237310304,0.5749752237310304,2.5862048888263054,1.7033618397348258,3.739039290680203,0.5749752237310304,0.5749752237310304,2.8901277362526407,2.5956436764635042,1.6351530530014435,1.5342648349781505,2.2256581624801863,3.471016604012135,10.702922214279974,0.5749752237310304,0.5749752237310304,1.724925671193091,0.5749752237310304,2.435493613042132,0.5749752237310304,1.8254325500125768,1.5342648349781505,0.5749752237310304,2.2256581624801863,1.3163646554403978,0.5749752237310304,9.789808154194883
nmr_CT_dp_5,0.6425679934358507,2.351352727457811,0.6425679934358507,0.6425679934358507,4.931343265018266,3.1956126121389703,0.6425679934358507,0.6425679934358507,0.6425679934358507,2.501514895400639,1.6191698818370777,4.5283686054059515,0.6425679934358507,0.6425679934358507,3.6145903944251443,3.0314391545763857,1.6522232522678046,1.584708943989797,2.3672407278358225,1.584708943989797,7.615945636143459,0.6425679934358507,0.6425679934358507,1.9512148825475768,0.6425679934358507,2.5432144698689267,0.6425679934358507,1.8534868248522984,0.6425679934358507,0.6425679934358507,2.5155686447528183,1.5486802785860152,0.6425679934358507,10.914754962986324
nmr_CT_dp_6,1.584708943989797,1.584708943989797,1.584708943989797,1.584708943989797,6.2382022940526545,7.794683691362825,1.584708943989797,1.584708943989797,1.584708943989797,6.436371601221039,1.584708943989797,8.621009713128931,1.584708943989797,1.584708943989797,8.20895312613222,6.65314132822859,3.296327438638843,3.726181109944541,5.419628353411963,3.0314391545763857,15.356655432838766,1.584708943989797,1.584708943989797,4.868727952434704,1.584708943989797,1.584708943989797,1.584708943989797,1.584708943989797,1.584708943989797,1.584708943989797,5.7989344874663376,3.1694178879795936,1.584708943989797,26.818872502219264
nmr_Gl_dp_1,1.5959495224062328,1.5734683655733614,0.5532847973274362,0.5532847973274362,8.7008440561108,2.92003360012478,0.5532847973274362,0.5532847973274362,0.5532847973274362,8.70009822685495,10.982072882316622,2.713788970068066,0.5532847973274362,0.5532847973274362,1.9679749910900992,2.432699014043296,1.3941903254793109,1.5959495224062328,1.892207390183614,1.2304943736708969,5.781545555780084,0.5532847973274362,0.5532847973274362,1.9232326977207672,0.5532847973274362,4.323029477731437,3.827290274397168,0.5532847973274362,0.5532847973274362,0.5532847973274362,2.291051509259274,1.6800985138709534,0.5532847973274362,9.449670055370404
nmr_Gl_dp_2,2.6764557329045258,4.024572022550361,0.7037836419255872,0.7037836419255872,14.8814197810871,4.503390410806687,0.7037836419255872,0.7037836419255872,0.7037836419255872,10.538999863609112,5.283065040986003,3.509509292505373,0.7037836419255872,0.7037836419255872,0.7037836419255872,11.583816229370544,2.84415861960892,2.4656342460540066,3.1539393534746143,0.7037836419255872,7.985876205237556,0.7037836419255872,0.7037836419255872,0.7037836419255872,0.7037836419255872,10.235316548468434,7.64145086365654,0.7037836419255872,0.7037836419255872,0.7037836419255872,6.954751327507402,3.1184988327412575,0.7037836419255872,12.029715254365694
nmr_Gl_dp_3,1.6021289391981126,3.3791777918150956,0.4439473955299447,0.4439473955299447,9.0459663281902,3.585929256898939,0.4439473955299447,0.4439473955299447,0.4439473955299447,8.359724615692492,3.811823201573907,2.0537295123788875,0.4439473955299447,0.4439473955299447,1.6134119091033146,7.813581171974685,1.7282856196343432,1.5672889487814812,2.1010358729258116,0.4439473955299447,5.079669426353286,0.4439473955299447,0.4439473955299447,0.4439473955299447,0.4439473955299447,5.010923906926872,3.5608040866226096,0.4439473955299447,0.4439473955299447,0.4439473955299447,2.2373546746967294,2.3429910199902784,0.4439473955299447,7.507470077149141
nmr_Gl_dp_4,2.12730898387144,2.403531845993213,0.56994042200946,0.56994042200946,10.772794519977339,3.113331227546247,0.56994042200946,0.56994042200946,0.56994042200946,9.454597690358524,8.15830894134415,3.445827644556765,0.56994042200946,0.56994042200946,2.486120399324059,3.113331227546247,1.5208299617633243,1.6439926574879336,2.12730898387144,1.4936664561930793,5.83665764505336,0.56994042200946,0.56994042200946,1.5969954786008365,0.56994042200946,4.623915390250909,3.456191098368257,0.56994042200946,0.56994042200946,0.56994042200946,2.2187760201441216,1.572422409378758,0.56994042200946,9.716518440560183
nmr_Gl_dp_5,1.3233874359604625,2.022868554878308,0.6918113144261114,0.6918113144261114,14.73273557733894,3.393243269156375,0.6918113144261114,0.6918113144261114,0.6918113144261114,10.703000964088456,13.599878736592608,3.0654488794485677,0.6918113144261114,0.6918113144261114,1.9086549608642,3.3247729061672646,1.2571045857979573,1.8460304520191315,2.125463541511184,0.6918113144261114,6.696636971394201,0.6918113144261114,0.6918113144261114,1.967419353384127,0.6918113144261114,9.54690895349341,3.906116232375074,0.6918113144261114,0.6918113144261114,0.6918113144261114,2.3052687791465973,2.2190085409012896,0.6918113144261114,11.825862488896309
nmr_Gl_dp_6,1.901657906793572,3.439798737637972,0.5196772441244419,0.5196772441244419,7.00386077797365,1.927186562521293,0.5196772441244419,0.5196772441244419,0.5196772441244419,8.946376784256762,5.998635573002624,1.6498724080141478,0.5196772441244419,0.5196772441244419,1.4778929547457615,7.5659884513408375,1.519545479965446,1.7919600326244858,1.9520562288975076,0.5196772441244419,5.771746158074749,0.5196772441244419,0.5196772441244419,1.927186562521293,0.5196772441244419,4.014523537895788,5.208870059588051,0.5196772441244419,0.5196772441244419,0.5196772441244419,2.4438702610578567,1.6668826010467694,0.5196772441244419,8.881613955156576
